iter	F1	Logloss
112	0.7633272424	0.4586541106
113	0.7635280095	0.4585075585
114	0.763546798	0.4584524306
115	0.7637057048	0.4582502508
116	0.7636305834	0.4580257466
117	0.7635250626	0.4578257406
118	0.7640395851	0.4574614915
119	0.7640770912	0.4573715921
120	0.7645609853	0.4569259342
121	0.7646941939	0.4566426505
122	0.7646941939	0.4565570197
123	0.7651454921	0.4563951255
124	0.7651150773	0.4562792555
125	0.7649373882	0.4561720647
126	0.7651689861	0.4560657511
127	0.7650403595	0.4559719736
128	0.7652858392	0.4558669308
129	0.7651081425	0.4557915673
130	0.7649608334	0.4554566989
131	0.7651012049	0.4553394435
132	0.7651198855	0.4552196292
133	0.7652111668	0.4551317066
134	0.7654193343	0.4549320112
135	0.7653584636	0.4548714632
136	0.7654262087	0.4548188887
137	0.7654566419	0.45476915
138	0.7654870775	0.4545794506
139	0.7653888977	0.4544627334
140	0.765339802	0.4543682706
141	0.7652837994	0.4539665479
142	0.7652533609	0.4538073646
143	0.7653820149	0.4537895022
144	0.7655342509	0.4534696125
145	0.7656138118	0.4533969587
146	0.7656020047	0.4533204344
147	0.7658406587	0.4532172705
148	0.7658033974	0.4531760596
149	0.7662146578	0.4530300104
150	0.7661232604	0.4529359471
151	0.7662027833	0.4528835649
152	0.7661909116	0.4528255422
153	0.766221374	0.4527561241
154	0.7662518389	0.4526283991
155	0.7659946718	0.4525241863
156	0.765945602	0.4524514566
157	0.7660979199	0.4522499533
158	0.7659388299	0.4521194756
159	0.7662451284	0.4520607462
160	0.7663551402	0.4518982116
161	0.7664651607	0.4517722333
162	0.7662012173	0.4516796892
163	0.7663484487	0.4516601166
164	0.7662874871	0.4515964583
165	0.7662941902	0.4515611814
166	0.7664227772	0.4514746273
167	0.7664227772	0.4514746175
168	0.766710406	0.4514044581
169	0.766930449	0.4513273157
170	0.767035064	0.4512067305
171	0.7673475876	0.4511237278
172	0.7676406281	0.4509252946
173	0.767530609	0.4507959614
174	0.7674141221	0.450691172
175	0.7675916355	0.4503180004
176	0.7676526718	0.450258313
177	0.7676526718	0.4501853188
178	0.767750656	0.4501485412
179	0.7677386016	0.4501054617
180	0.7679713888	0.450037715
181	0.7679713888	0.449958733
182	0.7682829889	0.4498191438
183	0.7686009539	0.4494740759
184	0.7686315036	0.4494117911
185	0.7685641596	0.4493032894
186	0.7684967996	0.4492643906
187	0.7686252683	0.449216671
188	0.7687293828	0.4491191913
189	0.7685520092	0.4490866989
190	0.7685704066	0.4488128487
191	0.7687904925	0.4487306712
192	0.7686926104	0.448701403
193	0.7686620558	0.4486540496
194	0.768821051	0.4485402508
195	0.7687721111	0.4485085702
196	0.7689250944	0.4484332385
197	0.7689372864	0.44826011
198	0.7690351296	0.4481680259
199	0.7691940868	0.4480354139
200	0.7693836188	0.4478198412
201	0.7695303187	0.4476627907
202	0.7695486332	0.4475896059
203	0.7695180579	0.4474940522
204	0.769267459	0.447409203
205	0.7695487975	0.4471475705
206	0.7695671185	0.4470005193
207	0.7695671185	0.4469005675
208	0.769554849	0.446834234
209	0.7697321358	0.4466782885
210	0.7698056207	0.446617746
211	0.7699829087	0.4465393416
212	0.7700624031	0.4464189326
213	0.7701848539	0.4461969457
214	0.7701176845	0.44612598
215	0.7700994036	0.4460244688
216	0.7703197073	0.4458695685
217	0.7702955332	0.4457588641
218	0.7703874612	0.445718525
219	0.7704546359	0.445542872
220	0.7704116126	0.4454247377
221	0.7705217945	0.4452581714
222	0.770631985	0.4451346387
223	0.77071153	0.444852384
224	0.77076042	0.4447707984
225	0.7708159287	0.4446805489
226	0.7704304926	0.444616859
227	0.7703691916	0.4444395622
228	0.7705159314	0.4443289699
229	0.7705465829	0.444306295
230	0.7707363647	0.4442559977
231	0.7706568007	0.4441580602
232	0.770669213	0.4440500922
233	0.7708954927	0.443884724
234	0.7710297101	0.4437371763
235	0.7709750567	0.4436282334
236	0.7712319504	0.4434975014
237	0.7715558384	0.4433742705
238	0.7715865251	0.4432855361
239	0.7716172142	0.4432018118
240	0.7718684116	0.4430405936
241	0.7718070085	0.442942776
242	0.7721070846	0.4428677067
243	0.772027527	0.4428261705
244	0.7721377993	0.4427227528
245	0.7722173602	0.4426831045
246	0.7724198297	0.4425000024
247	0.772193705	0.4424021384
248	0.7721811093	0.4422365631
249	0.7722606827	0.4421559916
250	0.7725536993	0.4421078721
251	0.7725970719	0.4419695558
252	0.7728176971	0.4418604097
253	0.7727200382	0.4418190309
254	0.7728303689	0.4417696033
255	0.772781536	0.4416971078
256	0.7729099519	0.4416353114
257	0.7728484463	0.4415169126
258	0.7730202945	0.4414573159
259	0.7727019499	0.4413143429
260	0.7727381237	0.4412514329
261	0.7725789767	0.4412168426
262	0.7729280229	0.4410411596
263	0.7729895348	0.4409622448
264	0.7730818211	0.4408910962
265	0.7730329924	0.440841298
266	0.7731453829	0.4407536042
267	0.7731453829	0.4406839737
268	0.7734511865	0.4405258568
269	0.7737080978	0.4404384708
270	0.7736592746	0.4403749258
271	0.7735924186	0.4402174647
272	0.7735796473	0.4400998843
273	0.7735796473	0.440050872
274	0.773623223	0.4400070689
275	0.7735743867	0.4399212227
276	0.7735924186	0.4398372689
277	0.7736412502	0.4397686195
278	0.773623223	0.4396867357
279	0.7734947435	0.4395604588
280	0.7734767025	0.4394025475
281	0.7732812873	0.4393250786
282	0.7733556432	0.4392677897
283	0.7733609496	0.4391656885
284	0.7734353213	0.4391073208
285	0.7736976263	0.4390042678
286	0.773856938	0.4388851728
287	0.7739854236	0.4387635399
288	0.7739365939	0.4386862126
289	0.7740214232	0.4386336636
290	0.7741318891	0.4385857046
291	0.7741010632	0.4385416592
292	0.7741370387	0.438479129
293	0.7744735061	0.4383995782
294	0.7742423639	0.4382745829
295	0.7744992633	0.4382246686
296	0.7746148027	0.438185401
297	0.7745043395	0.4381307465
298	0.7745301051	0.4380174929
299	0.774481303	0.4379870091
300	0.7745660137	0.4378824212
301	0.7746714456	0.4378229468
302	0.7745609494	0.4377468545
303	0.7746944301	0.4376650723
304	0.7746944301	0.4375959834
305	0.77480992	0.4375704094
306	0.7748895347	0.437466265
307	0.7748895347	0.4374537995
308	0.7750358223	0.4374010634
309	0.7752129268	0.4373299369
310	0.7749562172	0.437265805
311	0.7751512257	0.4372525515
312	0.7753233831	0.4371456864
313	0.775354243	0.4371046094
314	0.775420862	0.4370298221
315	0.7756775041	0.4369420186
316	0.7755800533	0.4369374718
317	0.7757083731	0.4368219216
318	0.7757879656	0.436751425
319	0.7755751931	0.4366751242
320	0.7757083731	0.4366333186
321	0.7759519357	0.4365658642
322	0.7759828108	0.4365276153
323	0.7760054099	0.4364972779
324	0.7759210631	0.4364632042
325	0.7758545223	0.4363660996
326	0.7761728542	0.4363069637
327	0.7761372229	0.4362566561
328	0.7760576273	0.4362134234
329	0.7760932713	0.4361960188
330	0.7763320202	0.4361196809
331	0.7763320202	0.4360534797
332	0.776358209	0.4359911685
333	0.7762869769	0.4359191112
334	0.7765127389	0.4358361214
335	0.7765127389	0.4357180391
336	0.7765127389	0.4356575411
337	0.776698256	0.435635107
338	0.7766673303	0.4355683021
339	0.776746964	0.4355313603
340	0.7767778928	0.4354484148
341	0.7769239957	0.4353950454
342	0.7768265977	0.4353163264
343	0.7768443684	0.4352339165
344	0.776698256	0.4351547167
345	0.7769194011	0.435103583
346	0.7770477442	0.4350598775
347	0.7771583307	0.4349652273
348	0.7773176171	0.4349328583
349	0.7769990443	0.434836369
350	0.7769812824	0.4347942382
351	0.7770122267	0.4347312559
352	0.7771228294	0.4346377326
353	0.7771273842	0.4345474772
354	0.7771096332	0.434494521
355	0.7771228294	0.4344511469
356	0.7770208358	0.4344078676
357	0.7769721116	0.4343595255
358	0.7771182727	0.4343038855
359	0.776954339	0.4342165068
360	0.7771269177	0.4341671841
361	0.7771446786	0.4341126501
362	0.7771578863	0.4340601526
363	0.777317287	0.4339588388
364	0.7773969873	0.4339413139
365	0.777219831	0.433834726
366	0.7772995377	0.4337352915
367	0.7772508071	0.4336393609
368	0.7772817856	0.433607663
369	0.7772817856	0.4335828304
370	0.7771710972	0.4335015963
371	0.7774899366	0.4334527869
372	0.7774589511	0.4334055696
373	0.7774102268	0.4333281079
374	0.7775121524	0.4332518792
375	0.7774944214	0.4331951091
376	0.7773614986	0.4331187657
377	0.7774766877	0.4329868903
378	0.7774102268	0.4329466894
379	0.7773792444	0.4329046352
380	0.777317287	0.4328485901
381	0.777317287	0.4328425958
382	0.7773660092	0.4328068492
383	0.7775431326	0.4327512568
384	0.7777069556	0.4327244944
385	0.7777202279	0.4326864902
386	0.7778131973	0.4326198087
387	0.7776715276	0.4325420923
388	0.7777202279	0.4325385755
389	0.7777689243	0.4325131672
390	0.7777379387	0.4324379918
391	0.7777069556	0.4324122318
392	0.777804334	0.4323835699
393	0.7779459804	0.4323339221
394	0.7780256553	0.4322650867
395	0.7779326827	0.432247365
396	0.7780123481	0.4321860222
397	0.777994662	0.4321244798
398	0.7781096905	0.4320575638
399	0.7781363292	0.4320219934
400	0.7781983346	0.4319839493
401	0.7783930208	0.4319070455
402	0.7784726925	0.4318147515
403	0.77842403	0.4317424327
404	0.7784106752	0.431688025
405	0.7785389947	0.4316321913
406	0.7786496714	0.4315827767
407	0.7785037049	0.4314914129
408	0.7786496714	0.4314084629
409	0.7786764413	0.4313370846
410	0.7785480915	0.4313144539
411	0.7786588038	0.4312827065
412	0.7787561257	0.4312211088
413	0.7788181854	0.4311834755
414	0.7789331102	0.4311506558
415	0.7788047809	0.4311112316
416	0.7787561257	0.4310379978
417	0.7788534321	0.4310093158
418	0.778950723	0.4309735786
419	0.7789641434	0.4309194629
420	0.7789154946	0.4309129757
421	0.7788978762	0.4309000873
422	0.778928913	0.4308573879
423	0.7790044239	0.4307886204
424	0.7790530846	0.4307502768
425	0.7793719114	0.4306723168
426	0.7793719114	0.4306413571
427	0.7793584379	0.4306077291
428	0.779482683	0.4305437598
429	0.7797393695	0.4304519486
430	0.7799609422	0.4304027264
431	0.7797353316	0.4303398953
432	0.7796110314	0.4303098796
433	0.7798501514	0.4302546257
434	0.7798015225	0.4302418143
435	0.779659666	0.4302106445
436	0.7796110314	0.4301940443
437	0.7797528896	0.4301640501
438	0.7795272452	0.430115192
439	0.7795583194	0.4300928055
440	0.7793150193	0.4300230154
441	0.7793326157	0.4299955298
442	0.7796421027	0.4299231985
443	0.7794299382	0.4298715476
444	0.7796069678	0.4298384196
445	0.7799609422	0.429798053
446	0.7797042529	0.4297388654
447	0.7798501514	0.4297021249
448	0.7801107614	0.429614871
449	0.7802837106	0.429574868
450	0.7802701303	0.4295291302
451	0.7801593625	0.4294396601
452	0.7801904458	0.4293676331
453	0.7803012192	0.429294945
454	0.7803012192	0.4292722537
455	0.7801864988	0.4291699238
456	0.7802351066	0.4291327929
457	0.7799649347	0.4291166455
458	0.7799649347	0.4290823815
459	0.7802661991	0.42897421
460	0.7802972941	0.4289419255
461	0.7802972941	0.4289117033
462	0.7802972941	0.4289021355
463	0.7803769976	0.4288059696
464	0.7803458994	0.4287559825
465	0.7803458994	0.4287031025
466	0.7805053001	0.4286732833
467	0.7806335923	0.4286619926
468	0.7806472182	0.4286350494
469	0.7805325255	0.4285976932
470	0.7804703069	0.4285815236
471	0.7805636385	0.4285437298
472	0.7805150283	0.4285071274
473	0.7803380641	0.4284604455
474	0.7803730867	0.4284211614
475	0.7803380641	0.4283615447
476	0.7802933673	0.4283122412
477	0.7803205486	0.4282682512
478	0.7803691743	0.4282497303
479	0.7806744798	0.4282034316
480	0.7806433611	0.428200745
481	0.780594754	0.4281532959
482	0.780594754	0.4281448428
483	0.7806083802	0.42809196
484	0.7805772604	0.4280248257
485	0.7806395024	0.4279994399
486	0.7807192409	0.4279511092
487	0.7808787178	0.4279122386
488	0.7811353851	0.4278649126
489	0.7812014191	0.4278285558
490	0.7814268633	0.4277888858
491	0.7812811416	0.4277305356
492	0.7814094388	0.4276779564
493	0.7813297194	0.4276442278
494	0.7813608642	0.4275773865
495	0.7814717372	0.427556182
496	0.7814717372	0.4274992085
497	0.7815166255	0.4274569501
498	0.7815340456	0.4274281903
499	0.7816761024	0.4273658595
